Page 1 | Text: E-mail | x: 0.43, y: 1.09, width: 0.35, height: 0.12
Page 1 | Text: for | x: 3.15, y: 5.77, width: 0.17, height: 0.15
Page 1 | Text: CGS/ | x: 3.34, y: 5.77, width: 0.28, height: 0.15
Page 1 | Text: CNG/LNG | x: 3.64, y: 5.76, width: 0.53, height: 0.15
Page 1 | Text: 0 | x: 4.80, y: 5.79, width: 0.06, height: 0.11
Page 1 | Text: 34400 | x: 5.37, y: 5.78, width: 0.33, height: 0.12
Page 1 | Text: MON | x: 6.42, y: 5.78, width: 0.27, height: 0.11
Page 1 | Text: 0.00 | x: 7.72, y: 5.79, width: 0.23, height: 0.11
Page 1 | Text: SUB | x: 6.58, y: 7.40, width: 0.21, height: 0.12
Page 1 | Text: TOTAL | x: 6.84, y: 7.40, width: 0.35, height: 0.13
Page 1 | Text: 68800.00 | x: 7.44, y: 7.40, width: 0.52, height: 0.12
Page 1 | Text: IGST | x: 6.65, y: 7.63, width: 0.26, height: 0.13
Page 1 | Text: 18% | x: 6.95, y: 7.64, width: 0.22, height: 0.13
Page 1 | Text: 12384.00 | x: 7.46, y: 7.64, width: 0.49, height: 0.12
Page 1 | Text: PAN | x: 0.25, y: 7.88, width: 0.21, height: 0.13
Page 1 | Text: No. | x: 0.51, y: 7.88, width: 0.22, height: 0.13
Page 1 | Text: AAACA3640H | x: 0.78, y: 7.88, width: 0.74, height: 0.13
Page 1 | Text: TOTAL | x: 6.84, y: 7.88, width: 0.35, height: 0.12
Page 1 | Text: 81184.00 | x: 7.45, y: 7.88, width: 0.50, height: 0.12
Page 1 | Text: Bank | x: 0.26, y: 8.09, width: 0.26, height: 0.13
Page 1 | Text: Details | x: 0.55, y: 8.09, width: 0.38, height: 0.13
Page 1 | Text: Bank | x: 0.25, y: 8.26, width: 0.27, height: 0.12
Page 1 | Text: Name | x: 0.55, y: 8.26, width: 0.33, height: 0.12
Page 1 | Text: HDFC | x: 1.21, y: 8.26, width: 0.30, height: 0.13
Page 1 | Text: BANK | x: 1.54, y: 8.26, width: 0.30, height: 0.12
Page 1 | Text: LTD | x: 1.87, y: 8.26, width: 0.19, height: 0.13
Page 1 | Text: CC | x: 2.10, y: 8.25, width: 0.14, height: 0.14
Page 1 | Text: A/C | x: 0.25, y: 8.43, width: 0.20, height: 0.13
Page 1 | Text: No. | x: 0.48, y: 8.43, width: 0.20, height: 0.13
Page 1 | Text: 50200051821820 | x: 1.20, y: 8.43, width: 0.95, height: 0.12
Page 1 | Text: Branch | x: 0.25, y: 8.60, width: 0.38, height: 0.14
Page 1 | Text: & | x: 0.66, y: 8.60, width: 0.09, height: 0.14
Page 1 | Text: IFS | x: 0.77, y: 8.60, width: 0.17, height: 0.14
Page 1 | Text: Code | x: 0.96, y: 8.60, width: 0.28, height: 0.14
Page 1 | Text: : | x: 1.27, y: 8.60, width: 0.04, height: 0.14
Page 1 | Text: KAMALA | x: 1.33, y: 8.60, width: 0.48, height: 0.14
Page 1 | Text: MILLS, | x: 1.84, y: 8.60, width: 0.36, height: 0.14
Page 1 | Text: MUMBAI | x: 2.23, y: 8.60, width: 0.51, height: 0.14
Page 1 | Text: 400013 | x: 2.77, y: 8.59, width: 0.41, height: 0.15
Page 1 | Text: & | x: 3.20, y: 8.59, width: 0.09, height: 0.14
Page 1 | Text: HDFC0000542 | x: 3.32, y: 8.59, width: 0.79, height: 0.15
Page 1 | Text: Declaration | x: 0.25, y: 8.94, width: 0.63, height: 0.14
Page 1 | Text: d | x: 0.48, y: 9.12, width: 0.05, height: 0.09
Page 1 | Text: l | x: 0.68, y: 9.12, width: 0.01, height: 0.09
Page 1 | Text: h | x: 0.96, y: 9.12, width: 0.05, height: 0.09
Page 1 | Text: Authorised | x: 6.00, y: 8.43, width: 0.62, height: 0.14
Page 1 | Text: Signatory | x: 6.65, y: 8.43, width: 0.54, height: 0.14
Page 1 | Text: Digitally | x: 6.64, y: 8.61, width: 0.17, height: 0.07
Page 1 | Text: signed | x: 6.83, y: 8.62, width: 0.16, height: 0.07
Page 1 | Text: Mathew | x: 6.27, y: 8.66, width: 0.32, height: 0.10
Page 1 | Text: by | x: 6.64, y: 8.67, width: 0.05, height: 0.08
Page 1 | Text: Mathew | x: 6.71, y: 8.67, width: 0.18, height: 0.08
Page 1 | Text: Eappen | x: 6.64, y: 8.74, width: 0.17, height: 0.06
Page 1 | Text: Eappen | x: 6.27, y: 8.78, width: 0.32, height: 0.12
Page 1 | Text: Date: | x: 6.64, y: 8.79, width: 0.11, height: 0.09
Page 1 | Text: 2025.09.16 | x: 6.77, y: 8.80, width: 0.24, height: 0.08
Page 1 | Text: 18:06:00 | x: 6.65, y: 8.86, width: 0.18, height: 0.06
Page 1 | Text: +05'30" | x: 6.84, y: 8.86, width: 0.16, height: 0.06
Page 1 | Text: Aarvi | x: 6.08, y: 8.99, width: 0.29, height: 0.13
Page 1 | Text: Encon | x: 6.40, y: 8.98, width: 0.32, height: 0.13
Page 1 | Text: Limited | x: 6.76, y: 8.98, width: 0.41, height: 0.13
Page 1 | Text: Vice | x: 5.90, y: 9.42, width: 0.23, height: 0.15
Page 1 | Text: President | x: 6.16, y: 9.43, width: 0.54, height: 0.14
Page 1 | Text: Account | x: 6.73, y: 9.43, width: 0.46, height: 0.15
